datetime_utc,candle_close_utc,current_price,candle_low,entry_price,current_return_pct,intraday_low_ret_pct,target_return_pct,sl_pct,sl_price,tp_price,days_held,horizon_days,exit_triggered
2026-07-24 03:01:20,2026-07-24 03:00:00,65074.0,65052.0,65069.0,0.0077,-0.0261,2.0652,-1.0326,64397.1,66412.8,0.122,7,none
2026-07-24 03:06:06,2026-07-24 03:05:00,65163.0,65131.0,65069.0,0.1445,0.0953,2.0652,-1.0326,64397.1,66412.8,0.125,7,none
2026-07-24 03:11:13,2026-07-24 03:10:00,65247.0,65237.0,65069.0,0.2736,0.2582,2.0652,-1.0326,64397.1,66412.8,0.129,7,none
2026-07-24 03:16:06,2026-07-24 03:15:00,65351.0,65287.0,65069.0,0.4334,0.335,2.0652,-1.0326,64397.1,66412.8,0.132,7,none
2026-07-24 03:21:20,2026-07-24 03:20:00,65344.0,65306.0,65069.0,0.4226,0.3642,2.0652,-1.0326,64397.1,66412.8,0.136,7,none
2026-07-24 03:26:10,2026-07-24 03:25:00,65294.0,65262.0,65069.0,0.3458,0.2966,2.0652,-1.0326,64397.1,66412.8,0.139,7,none
2026-07-24 03:31:23,2026-07-24 03:30:00,65315.0,65292.0,65069.0,0.3781,0.3427,2.0652,-1.0326,64397.1,66412.8,0.143,7,none
2026-07-24 03:36:11,2026-07-24 03:35:00,65280.0,65280.0,65069.0,0.3243,0.3243,2.0652,-1.0326,64397.1,66412.8,0.146,7,none
2026-07-24 03:41:10,2026-07-24 03:40:00,65300.0,65274.0,65069.0,0.355,0.3151,2.0652,-1.0326,64397.1,66412.8,0.149,7,none
2026-07-24 03:46:13,2026-07-24 03:45:00,65374.0,65363.0,65069.0,0.4687,0.4518,2.0652,-1.0326,64397.1,66412.8,0.153,7,none
2026-07-24 03:51:13,2026-07-24 03:50:00,65399.0,65390.0,65069.0,0.5072,0.4933,2.0652,-1.0326,64397.1,66412.8,0.156,7,none
2026-07-24 03:56:12,2026-07-24 03:55:00,65396.0,65376.0,65069.0,0.5025,0.4718,2.0652,-1.0326,64397.1,66412.8,0.16,7,none
2026-07-24 04:01:25,2026-07-24 04:00:00,65396.0,65395.0,65069.0,0.5025,0.501,2.0652,-1.0326,64397.1,66412.8,0.163,7,none
2026-07-24 04:06:12,2026-07-24 04:05:00,65404.0,65398.0,65069.0,0.5148,0.5056,2.0652,-1.0326,64397.1,66412.8,0.167,7,none
2026-07-24 04:11:09,2026-07-24 04:10:00,65366.0,65365.0,65069.0,0.4564,0.4549,2.0652,-1.0326,64397.1,66412.8,0.17,7,none
2026-07-24 04:16:08,2026-07-24 04:15:00,65337.0,65337.0,65069.0,0.4119,0.4119,2.0652,-1.0326,64397.1,66412.8,0.174,7,none
2026-07-24 04:21:10,2026-07-24 04:20:00,65315.0,65315.0,65069.0,0.3781,0.3781,2.0652,-1.0326,64397.1,66412.8,0.177,7,none
2026-07-24 04:26:11,2026-07-24 04:25:00,65387.0,65376.0,65069.0,0.4887,0.4718,2.0652,-1.0326,64397.1,66412.8,0.181,7,none
2026-07-24 04:31:14,2026-07-24 04:30:00,65357.0,65355.0,65069.0,0.4426,0.4395,2.0652,-1.0326,64397.1,66412.8,0.184,7,none
2026-07-24 04:36:11,2026-07-24 04:35:00,65324.0,65324.0,65069.0,0.3919,0.3919,2.0652,-1.0326,64397.1,66412.8,0.188,7,none
2026-07-24 04:41:11,2026-07-24 04:40:00,65283.0,65282.0,65069.0,0.3289,0.3273,2.0652,-1.0326,64397.1,66412.8,0.191,7,none
2026-07-24 04:46:08,2026-07-24 04:45:00,65305.0,65304.0,65069.0,0.3627,0.3612,2.0652,-1.0326,64397.1,66412.8,0.194,7,none
2026-07-24 04:51:15,2026-07-24 04:50:00,65287.0,65286.0,65069.0,0.335,0.3335,2.0652,-1.0326,64397.1,66412.8,0.198,7,none
